类别,文件,ID,英文,中文
基础,achievements.xml,Scrap20000_Ingame_Gold,"1. Scrap: Why Do You Even Build Them?","1. 悔不当初"
基础,achievements.xml,Scrap100_Ingame_Bronze,"1. Scrap: I need the scrap!","1. 破铜烂铁"
基础,achievements.xml,TechnoHouse_Bronze_Desc,"Win against Technologist Homeworlder on any difficulty.","在任何难度下击败家园捍卫专家。"
基础,achievements.xml,Control15Planets_Ingame_Bronze_Desc,"Your team must control fifteen non-home planets in a single game.","在一次游戏中，我军占领15个非母星行星。"
基础,achievements.xml,Scrap20000_Ingame_Gold_Desc,"Scrap at least 20,000 of your ships in a single game.","在一次游戏中，废弃最少20,000个我方部队。"
基础,achievements.xml,BrokenLegs_Bronze_Desc,"Win against Assassin on any difficulty.","在任何难度下击败暗杀者。"
基础,achievements.xml,FancyHammer_Gold_Desc,"Win against Technologist Sledge on difficulty 9 or up.","在难度9或以上击败铁锤专家。"
基础,achievements.xml,TechnoDancer_Gold,"4. Techno Dancer","4. 战略大反攻"
基础,achievements.xml,FirstVictory_Silver_Desc,"Win against the AI on any difficulty level.","在任何难度下击败人工智能。"
基础,achievements.xml,PointsOneMillion_Ingame_Silver_Desc,"Reach a score of one million points in a single game.","在一次游戏中，达到1,000,000分。"
基础,achievements.xml,CounterThis_Bronze_Desc,"Win against Counter Spy on any difficulty.","在任何难度下击败反间谍。"
基础,achievements.xml,CaughtInTheAct_Gold,"3. Caught In The Act","3. 逮个正着"
基础,achievements.xml,IvoryTower_Silver_Desc,"Win against Technologist Turtle on difficulty 7 or up.","在难度7或以上击败乌龟专家。"
基础,achievements.xml,TimeFifteenHours_Ingame_Silver,"1. Long One: 15 Hour Campaign","1. 拉锯战"
基础,achievements.xml,IvoryTower_Silver,"4. Ivory Tower","4. 象牙塔"
基础,achievements.xml,IAmBadlyBurned_Gold_Desc,"Win against Scorched Earth on difficulty 9 or up.","在难度9或以上击败焦土者。"
基础,achievements.xml,Scrap100_Ingame_Bronze_Desc,"Scrap at least 100 of your ships in a single game.","在一次游戏中，废弃最少100个我方部队。"
基础,achievements.xml,Kill200K_Ingame_Gold,"1. Kills: Xenocidal","1. 魔神"
基础,achievements.xml,FortBuster_Gold,"2. Fort Buster","2. 要塞破坏者"
基础,achievements.xml,Detrencher_Silver_Desc,"Win against Entrenched Homeworlder on difficulty 7 or up.","在难度7或以上击败家园捍卫者。"
基础,achievements.xml,MaxedOutResources_Ingame_Gold,"5. Maxed Out Resources","5. 爆满的资源"
基础,achievements.xml,Win10Planets_Ingame_Bronze_Desc,"Win a game on a ten planet map.","在10个行星的星系地图上赢得一次游戏。"
基础,achievements.xml,Scrap1000_Ingame_Bronze_Desc,"Scrap at least 1,000 of your ships in a single game.","在一次游戏中，废弃最少1,000个我方部队。"
基础,achievements.xml,ISawThat_Silver_Desc,"Win against Stealth Master on difficulty 7 or up.","在难度7或以上击败暗行大师。"
基础,achievements.xml,Control5Planets_Ingame_Bronze_Desc,"Your team must control five non-home planets in a single game.","在一次游戏中，我军占领5个非母星行星。"
基础,achievements.xml,IvoryTower_Bronze_Desc,"Win against Technologist Turtle on any difficulty.","在任何难度下击败乌龟专家。"
基础,achievements.xml,Control50Planets_Ingame_Gold_Desc,"Your team must control fifty non-home planets in a single game.","在一次游戏中，我军占领50个非母星行星。"
基础,achievements.xml,CaughtInTheAct_Silver_Desc,"Win against Backdoor Hacker on difficulty 7 or up.","在难度7或以上击败后门的黑客。"
基础,achievements.xml,TechnoDancer_Gold_Desc,"Win against Technologist Raider on difficulty 9 or up.","在难度9或以上击败侵略专家。"
基础,achievements.xml,PickOnSomeoneElse_Gold_Desc,"Win against Bully on difficulty 9 or up.","在难度9或以上击败恶霸。"
基础,achievements.xml,NotHungry_Gold,"3. Not Hungry","3. 不饿了"
基础,achievements.xml,Control80Planets_Ingame_Gold_Desc,"Your team must control eighty non-home planets in a single game.","在一次游戏中，我军占领80个非母星行星。"
基础,achievements.xml,BrokenSledge_Gold_Desc,"Win against Sledge Hammer on difficulty 9 or up.","在难度9或以上击败强力铁锤。"
基础,achievements.xml,UltimateLeech_Bronze_Desc,"Win against Technologist Parasite on any difficulty.","在任何难度下击败寄生专家。"
基础,achievements.xml,TheGlowSlowlyDies_Silver,"4. The Glow Slowly Dies","4. 光辉不再"
基础,achievements.xml,RaidFail_Bronze,"3. Raid Fail","3. 突袭失败"
基础,achievements.xml,Win120Planets_Ingame_Gold_Desc,"Win a game on a one hundred and twenty planet map.","在120个行星的星系地图上赢得一次游戏。"
基础,achievements.xml,Lose75K_Ingame_Silver_Desc,"Lose at least 75,000 ships in a single game.","在一次游戏中，损失最少75,000个部队。"
基础,achievements.xml,TurnOnTheLights_Bronze,"4. Turn On The Lights","4. 无所遁形"
基础,achievements.xml,FirstLoss_Desc,"Lose to the AI on any difficulty level.","被任何难度的人工智能击败。"
基础,achievements.xml,TurnOnTheLights_Bronze_Desc,"Win against Shadow Master on any difficulty.","在任何难度下击败幻影大师。"
基础,achievements.xml,TheGlowSlowlyDies_Gold_Desc,"Win against Attritioner on difficulty 9 or up.","在难度9或以上击败耗损者。"
基础,achievements.xml,TechnoHouse_Bronze,"4. Techno House","4. 全面解放"
基础,achievements.xml,Detrencher_Bronze_Desc,"Win against Entrenched Homeworlder on any difficulty.","在任何难度下击败家园捍卫者。"
基础,achievements.xml,BrokenLegs_Silver_Desc,"Win against Assassin on difficulty 7 or up.","在难度7或以上击败暗杀者。"
基础,achievements.xml,FancyHammer_Bronze_Desc,"Win against Technologist Sledge on any difficulty.","在任何难度下击败铁锤专家。"
基础,achievements.xml,Control15Planets_Ingame_Bronze,"1. Control 15","1. 侯爵"
基础,achievements.xml,BrokenLegs_Gold,"3. Broken Legs","3. 断腿了"
基础,achievements.xml,BrokenSledge_Bronze,"2. Broken Sledge","2. 残破的铁锤"
基础,achievements.xml,PeeledAndRoasted_Silver_Desc,"Win against The Core on difficulty 7 or up.","在难度7或以上击败核心。"
基础,achievements.xml,BrokenLegs_Silver,"3. Broken Legs","3. 断腿了"
基础,achievements.xml,CounterThis_Silver,"3. Counter This","3. 反对无效"
基础,achievements.xml,FancyHammer_Gold,"4. Fancy Hammer","4. 花式锤"
基础,achievements.xml,WhatADud_Silver_Desc,"Win against Mine Enthusiast on difficulty 7 or up.","在难度7或以上击败地雷狂人。"
基础,achievements.xml,WhatADud_Gold,"2. What A Dud","2. 何为哑雷"
基础,achievements.xml,Win10Planets_Ingame_Bronze,"1. Win on 10-Planet Map","1. 原住民"
基础,achievements.xml,TechnoDancer_Silver,"4. Techno Dancer","4. 战略大反攻"
基础,achievements.xml,FortBuster_Bronze,"2. Fort Buster","2. 要塞破坏者"
基础,achievements.xml,TimeOneHour_Ingame_Bronze_Desc,"Reach a game time of one hour in a single game.","在一次游戏中，进行游戏1小时。"
基础,achievements.xml,Energy150kExcess_Ingame_Silver,"1. Future Proofing: 150,000 Energy","1. 有备无患"
基础,achievements.xml,TankBuster_Gold,"2. Tank Buster","2. 坦克破坏者"
基础,achievements.xml,Lose200K_Ingame_Gold,"1. Losses: What Have We Done","1. 拼死一搏"
基础,achievements.xml,PeeledAndRoasted_Bronze,"4. Peeled And Roasted","4. 去皮,烤熟~"
基础,achievements.xml,TechnoHouse_Gold_Desc,"Win against Technologist Homeworlder on difficulty 9 or up.","在难度9或以上击败家园捍卫专家。"
基础,achievements.xml,PickOnSomeoneElse_Silver,"3. Pick On Someone Else","3. 你不该惹我"
基础,achievements.xml,ExtremeKSaver_Ingame_Gold_Desc,"Accumulate 50,000 stored knowledge in a single game.","在一次游戏中，储备50,000知识。"
基础,achievements.xml,TurtleSoup_Gold_Desc,"Win against Turtle on difficulty 9 or up.","在难度9或以上击败乌龟。"
基础,achievements.xml,LookAtMyFriends_Bronze,"3. Look At My Friends!","3. 你是我们的朋友"
基础,achievements.xml,TechnoHouse_Gold,"4. Techno House","4. 全面解放"
基础,achievements.xml,TimeFiveHours_Ingame_Bronze_Desc,"Reach a game time of five hours in a single game.","在一次游戏中，进行游戏5小时。"
基础,achievements.xml,TrainWreck_Bronze,"2. Train Wreck","2. 列车出轨"
基础,achievements.xml,Full10Victory_Gold_Desc,"Win against the AI on difficulty level 10 or up, with no positive human or negative AI handicaps.","单独击败一个难度10的人工智能。"
基础,achievements.xml,Win80Planets_Ingame_Silver,"1. Win on 80-Planet Map","1. 霸主"
基础,achievements.xml,TimeThirtySixHours_Ingame_Gold,"1. Epic Struggle: 36 Hour Campaign","1. 史诗般的战斗"
基础,achievements.xml,First10Victory_Gold,"5. Paragon","5. 模范级"
基础,achievements.xml,TurtleSoup_Silver,"2. Turtle Soup","2. 乌龟汤"
基础,achievements.xml,NotHungry_Bronze,"3. Not Hungry","3. 不饿了"
基础,achievements.xml,TimeFiveHours_Ingame_Bronze,"1. Getting Into This: 5 Hour Campaign","1. 渐入佳境"
基础,achievements.xml,Reclaim1K_Ingame_Bronze_Desc,"Reclaim at least 1,000 enemy ships in a single game.","在一次游戏中，操控最少1,000个敌方部队。"
基础,achievements.xml,ISawThat_Bronze_Desc,"Win against Stealth Master on any difficulty.","在任何难度下击败暗行大师。"
基础,achievements.xml,Kill30K_Ingame_Bronze_Desc,"Kill at least 30,000 ships in a single game.","在一次游戏中，消灭最少30,000个单位。"
基础,achievements.xml,UltimateLeech_Gold,"4. Ultimate Leech","4. 终极水蛭"
基础,achievements.xml,TankBuster_Silver,"2. Tank Buster","2. 坦克破坏者"
基础,achievements.xml,IvoryTower_Gold_Desc,"Win against Technologist Turtle on difficulty 9 or up.","在难度9或以上击败乌龟专家。"
基础,achievements.xml,AreWeNotOnTheSameSide_Silver,"3. Aren't We On The Same Side?","3. 我们并非敌对"
基础,achievements.xml,TimeFifteenHours_Ingame_Silver_Desc,"Reach a game time of fifteen hours in a single game.","在一次游戏中，进行游戏15小时。"
基础,achievements.xml,TimeOneHour_Ingame_Bronze,"1. Warmup: 1 Hour Campaign","1. 仅仅是热身"
基础,achievements.xml,WhatADud_Silver,"2. What A Dud","2. 何为哑雷"
基础,achievements.xml,PointsFiveMillion_Ingame_Silver_Desc,"Reach a score of five million points in a single game.","在一次游戏中，达到5,000,000分。"
基础,achievements.xml,Energy150kExcess_Ingame_Silver_Desc,"Accumulate a net energy balance of 150,000.","能量储备达到150,000以上。"
基础,achievements.xml,FirstVictory_Silver,"1. First Victory","1. 第一滴血"
基础,achievements.xml,CounterThis_Gold,"3. Counter This","3. 反对无效"
基础,achievements.xml,Kill75K_Ingame_Silver_Desc,"Kill at least 75,000 ships in a single game.","在一次游戏中，消灭最少75,000个单位。"
基础,achievements.xml,Lose30K_Ingame_Bronze,"1. Losses: We Can Absorb This","1. 血战到底"
基础,achievements.xml,RaidFail_Gold,"3. Raid Fail","3. 突袭失败"
基础,achievements.xml,Reclaim5K_Ingame_Silver,"1. Reclamation: Thief","1. 反戈相向"
基础,achievements.xml,Detrencher_Gold,"2. Detrencher","2. 直捣黄龙"
基础,achievements.xml,ExtremeKSaver_Ingame_Gold,"5. Extreme Knowledge Saver","5. 知识收集狂"
基础,achievements.xml,PickOnSomeoneElse_Bronze,"3. Pick On Someone Else","3. 你不该惹我"
基础,achievements.xml,Scrap10000_Ingame_Silver,"1. Scrap: Pile Them On The Heap","1. 废料堆"
基础,achievements.xml,PointsFiveMillion_Ingame_Silver,"1. 5,000,000 Points","1. 领主"
基础,achievements.xml,TrainWreck_Bronze_Desc,"Win against Train Master on any difficulty.","在任何难度下击败列车大师。"
基础,achievements.xml,TrulyMad_Gold_Desc,"Win against Mad Bomber on difficulty 9 or up.","在难度9或以上击败疯狂轰炸机。"
基础,achievements.xml,RaidFail_Gold_Desc,"Win against Vicious Raider on difficulty 9 or up.","在难度9或以上击败凶猛的侵略者。"
基础,achievements.xml,NotHungry_Silver,"3. Not Hungry","3. 不饿了"
基础,achievements.xml,Control35Planets_Ingame_Silver,"1. Control 35","1. 大公"
基础,achievements.xml,ISawThat_Gold_Desc,"Win against Stealth Master on difficulty 9 or up.","在难度9或以上击败暗行大师。"
基础,achievements.xml,ManDown_Gold_Desc,"Win against Special Forces Captain on difficulty 9 or up.","在难度9或以上击败特种部队队长。"
基础,achievements.xml,ISawThat_Silver,"3. I Saw That","3. 隐蔽失效"
基础,achievements.xml,Reclaim15K_Ingame_Gold_Desc,"Reclaim at least 15,000 enemy ships in a single game.","在一次游戏中，操控最少15,000个敌方部队。"
基础,achievements.xml,Control2Planets_Ingame_Bronze,"1. Control 2","1. 子爵"
基础,achievements.xml,Scrap1000_Ingame_Bronze,"1. Scrap: Didn't Like The Look Of 'Em!","1. 扔掉它们"
基础,achievements.xml,TimeTwentyFourHours_Ingame_Gold,"1. Persistent: 24 Hour Campaign","1. 持久战"
基础,achievements.xml,UltimateLeech_Silver,"4. Ultimate Leech","4. 终极水蛭"
基础,achievements.xml,FirstCoOpGameComplete,"1. First Co-Op Game Completed","1. 人多力量大"
基础,achievements.xml,PeeledAndRoasted_Gold_Desc,"Win against The Core on difficulty 9 or up.","在难度9或以上击败核心。"
基础,achievements.xml,Control80Planets_Ingame_Gold,"5. Control 80","5. 储君"
基础,achievements.xml,ManDown_Silver,"4. Man Down!","4. 目标已被歼灭"
基础,achievements.xml,Detrencher_Gold_Desc,"Win against Entrenched Homeworlder on difficulty 9 or up.","在难度9或以上击败家园捍卫者。"
基础,achievements.xml,TemperTantrums_Silver,"3. Temper Tantrums","3. 脾气暴躁"
基础,achievements.xml,ISawThat_Bronze,"3. I Saw That","3. 隐蔽失效"
基础,achievements.xml,IAmBadlyBurned_Silver,"4. I'm Badly Burned","4. 我着火了!"
基础,achievements.xml,Control25Planets_Ingame_Silver_Desc,"Your team must control twenty-five non-home planets in a single game.","在一次游戏中，我军占领25个非母星行星。"
基础,achievements.xml,IAmBadlyBurned_Gold,"4. I'm Badly Burned","4. 我着火了!"
基础,achievements.xml,TechnoHouse_Silver,"4. Techno House","4. 全面解放"
基础,achievements.xml,Control50Planets_Ingame_Gold,"5. Control 50","5. 亲王"
基础,achievements.xml,ElectricTurtleSoup_Silver_Desc,"Win against Teleporter Turtle on difficulty 7 or up.","在难度7或以上击败瞬移乌龟。"
基础,achievements.xml,NotHungry_Gold_Desc,"Win against Feeding Parasite on difficulty 9 or up.","在难度9或以上击败吸血的寄生虫。"
基础,achievements.xml,Win80Planets_Ingame_Silver_Desc,"Win a game on an eighty planet map.","在80个行星的星系地图上赢得一次游戏。"
基础,achievements.xml,First10Victory_Gold_Desc,"Win against the AI on difficulty level 10 or up.","击败一个难度10或以上的人工智能。"
基础,achievements.xml,Control5Planets_Ingame_Bronze,"1. Control 5","1. 伯爵"
基础,achievements.xml,PickOnSomeoneElse_Silver_Desc,"Win against Bully on difficulty 7 or up.","在难度7或以上击败恶霸。"
基础,achievements.xml,ElectricTurtleSoup_Bronze,"3. Electric Turtle Soup","3. 电动乌龟汤"
基础,achievements.xml,TheGlowSlowlyDies_Silver_Desc,"Win against Attritioner on difficulty 7 or up.","在难度7或以上击败耗损者。"
基础,achievements.xml,Control2Planets_Ingame_Bronze_Desc,"Your team must control two non-home planets in a single game.","在一次游戏中，我军占领2个非母星行星。"
基础,achievements.xml,ISawThat_Gold,"3. I Saw That","3. 隐蔽失效"
基础,achievements.xml,Full10DoubleVictory_Gold_Desc,"Win against 2 AIs on difficulty level 10 or up, with no positive human or negative AI handicaps.","单独击败2个难度10的人工智能。"
基础,achievements.xml,ElectricTurtleSoup_Silver,"3. Electric Turtle Soup","3. 电动乌龟汤"
基础,achievements.xml,TurnOnTheLights_Gold,"4. Turn On The Lights","4. 无所遁形"
基础,achievements.xml,WhatADud_Gold_Desc,"Win against Mine Enthusiast on difficulty 9 or up.","在难度9或以上击败地雷狂人。"
基础,achievements.xml,BrokenSledge_Silver_Desc,"Win against Sledge Hammer on difficulty 7 or up.","在难度7或以上击败强力铁锤。"
基础,achievements.xml,TimeTenHours_Ingame_Bronze,"1. Nearing The End? 10 Hour Campaign","1. 硝烟未散"
基础,achievements.xml,FancyHammer_Bronze,"4. Fancy Hammer","4. 花式锤"
基础,achievements.xml,TrainWreck_Gold,"2. Train Wreck","2. 列车出轨"
基础,achievements.xml,ElectricTurtleSoup_Gold_Desc,"Win against Teleporter Turtle on difficulty 9 or up.","在难度9或以上击败瞬移乌龟。"
基础,achievements.xml,PointsTenMillion_Ingame_Gold_Desc,"Reach a score of ten million points in a single game.","在一次游戏中，达到10,000,000分。"
基础,achievements.xml,PeeledAndRoasted_Gold,"4. Peeled And Roasted","4. 去皮,烤熟~"
基础,achievements.xml,TrulyMad_Bronze,"3. Truly Mad","3. 真正疯狂"
基础,achievements.xml,FancyHammer_Silver,"4. Fancy Hammer","4. 花式锤"
基础,achievements.xml,FortBuster_Silver_Desc,"Win against Fortress Baron on difficulty 7 or up.","在难度7或以上击败要塞男爵。"
基础,achievements.xml,TheGlowSlowlyDies_Gold,"4. The Glow Slowly Dies","4. 光辉不再"
基础,achievements.xml,ManDown_Silver_Desc,"Win against Special Forces Captain on difficulty 7 or up.","在难度7或以上击败特种部队队长。"
基础,achievements.xml,IvoryTower_Gold,"4. Ivory Tower","4. 象牙塔"
基础,achievements.xml,TemperTantrums_Silver_Desc,"Win with the Human Colony Rebellions minor faction enabled on any difficulty.","在任何难度下启用盟军 - 起义组织并取胜。"
基础,achievements.xml,BrokenLegs_Gold_Desc,"Win against Assassin on difficulty 9 or up.","在难度9或以上击败暗杀者。"
基础,achievements.xml,Control35Planets_Ingame_Silver_Desc,"Your team must control thirty-five non-home planets in a single game.","在一次游戏中，我军占领35个非母星行星。"
基础,achievements.xml,CaughtInTheAct_Gold_Desc,"Win against Backdoor Hacker on difficulty 9 or up.","在难度9或以上击败后门的黑客。"
基础,achievements.xml,UltimateLeech_Gold_Desc,"Win against Technologist Parasite on difficulty 9 or up.","在难度9或以上击败寄生专家。"
基础,achievements.xml,PickOnSomeoneElse_Gold,"3. Pick On Someone Else","3. 你不该惹我"
基础,achievements.xml,CounterThis_Bronze,"3. Counter This","3. 反对无效"
基础,achievements.xml,BrokenSledge_Gold,"2. Broken Sledge","2. 残破的铁锤"
基础,achievements.xml,ManDown_Gold,"4. Man Down!","4. 目标已被歼灭"
基础,achievements.xml,TrulyMad_Silver_Desc,"Win against Mad Bomber on difficulty 7 or up.","在难度7或以上击败疯狂轰炸机。"
基础,achievements.xml,Energy2mExcess_Ingame_Gold,"1. Who Read These Plans? 2,000,000 Energy","1. 能源过剩"
基础,achievements.xml,TurtleSoup_Bronze,"2. Turtle Soup","2. 乌龟汤"
基础,achievements.xml,NotHungry_Silver_Desc,"Win against Feeding Parasite on difficulty 7 or up.","在难度7或以上击败吸血的寄生虫。"
基础,achievements.xml,TechnoHouse_Silver_Desc,"Win against Technologist Homeworlder on difficulty 7 or up.","在难度7或以上击败家园捍卫专家。"
基础,achievements.xml,TheGlowSlowlyDies_Bronze,"4. The Glow Slowly Dies","4. 光辉不再"
基础,achievements.xml,RaidFail_Silver_Desc,"Win against Vicious Raider on difficulty 7 or up.","在难度7或以上击败凶猛的侵略者。"
基础,achievements.xml,ManDown_Bronze_Desc,"Win against Special Forces Captain on any difficulty.","在任何难度下击败特种部队队长。"
基础,achievements.xml,First10Loss_Desc,"Lose to the AI on difficulty level 10 or up.","被难度10或以上的人工智能击败。"
基础,achievements.xml,LookAtMyFriends_Bronze_Desc,"Win with the Human Resistance Fighters minor faction enabled on any difficulty.","在任何难度下启用盟军 - 反抗军并取胜。"
基础,achievements.xml,PointsTenMillion_Ingame_Gold,"1. 10,000,000 Points","1. 王者"
基础,achievements.xml,FortBuster_Bronze_Desc,"Win against Fortress Baron on any difficulty.","在任何难度下击败要塞男爵。"
基础,achievements.xml,IvoryTower_Bronze,"4. Ivory Tower","4. 象牙塔"
基础,achievements.xml,TrulyMad_Bronze_Desc,"Win against Mad Bomber on any difficulty.","在任何难度下击败败疯狂轰炸机。"
基础,achievements.xml,TurtleSoup_Silver_Desc,"Win against Turtle on difficulty 7 or up.","在难度7或以上击败乌龟。"
基础,achievements.xml,TurnOnTheLights_Silver,"4. Turn On The Lights","4. 无所遁形"
基础,achievements.xml,Reclaim30K_Ingame_Gold_Desc,"Reclaim at least 30,000 enemy ships in a single game.","在一次游戏中，操控最少30,000个敌方部队。"
基础,achievements.xml,PeeledAndRoasted_Silver,"4. Peeled And Roasted","4. 去皮,烤熟~"
基础,achievements.xml,Length,"Length","长度"
基础,achievements.xml,PointsFiveHundredK_Ingame_Bronze,"1. 500,000 Points","1. 牧人"
基础,achievements.xml,UltimateLeech_Silver_Desc,"Win against Technologist Parasite on difficulty 7 or up.","在难度7或以上击败寄生专家。"
基础,achievements.xml,FortBuster_Silver,"2. Fort Buster","2. 要塞破坏者"
基础,achievements.xml,Control25Planets_Ingame_Silver,"1. Control 25","1. 公爵"
